,obs_mean,obs_summer_mean,obs_warmest_mean,obs_coldest_mean,obs_ice_duration,obs_cloud_mean,obs_cloud_summer_mean,obs_cloud_warmest_mean,obs_cloud_coldest_mean
300012406,4.390110431013684,14.345616394540562,17.34586961616327,-0.00034179687497720013,231.8,6.242208603823782,15.544618953760143,18.086397055566014,-0.00034179687497720013
300010787,1.6780478275162611,5.617034624624967,9.617098620288285,-0.00034179687497720013,283.93333333333334,1.8432680197039393,7.782236982321747,10.205442504886369,-0.00034179687497720013
300011707,3.1619778206961198,9.462457707078007,13.820516375743383,-0.00034179687497720013,245.8,3.844302108983339,9.10292673602016,13.887808709074225,-0.00034179687497720013
300014300,10.461599882204439,21.169495301546128,22.435590936804356,0.02230925103427727,85.73333333333333,13.831817179729331,21.318544445736897,22.481234902662155,0.01482222183673814
300010982,1.854508801299168,5.8131185789615305,9.357240330959327,-0.00034179687497720013,261.46666666666664,1.729148814038488,6.352496834546616,10.207374138153975,-0.00034179687497720013
300011781,2.2640120771032,5.006190930242148,8.693159263364754,-0.00034179687497720013,227.06666666666666,2.392356590732795,4.588496983628692,8.812639026813889,-0.00034179687497720013
300012491,5.467143260581954,14.65895875709647,16.961856295131035,-0.00034179687497720013,172.6,7.703644772757493,15.323745139036136,17.598296580655347,-0.00034179687497720013
300013196,6.4209615198446475,17.36394943430806,19.182225088395267,-0.00034179687497720013,182.0,8.88137775925697,18.172741889626476,19.730954259106706,-0.00034179687497720013
300011082,1.8209620901925987,5.3794493048663545,8.777434945875624,-0.00034179687497720013,259.8666666666667,1.5432593238276757,5.572603491194871,9.219532940061915,-0.00034179687497720013
300011120,2.261310013918651,6.764350802998817,10.300752512958885,-0.00034179687497720013,249.6,2.532395422009547,8.237010246253663,10.530771079131519,-0.00034179687497720013
300011184,2.038960769239313,6.975750321927303,11.150484930058985,-0.00034179687497720013,270.6,2.377629452780827,7.783533365740351,11.837535270522457,-0.00034179687497720013
300011226,2.01505759970773,6.741463470459008,10.909155356841298,-0.00034179687497720013,273.53333333333336,2.124974319138754,7.021537246947876,11.717793314829601,-0.00034179687497720013
300011374,2.4146082667558537,8.152659505116214,12.8682860193287,-0.00034179687497720013,265.8,2.597064793246939,8.043719659907312,13.576059790150984,-0.00034179687497720013
300012150,4.980277277424373,12.95894219357037,15.544919679156363,-0.00034179687497720013,173.13333333333333,6.702593244039541,13.391867644827467,16.067876808877948,-0.00034179687497720013
300013635,4.207643888953592,12.789187383421401,16.20104226006405,-0.00034179687497720013,220.73333333333332,5.302503079615514,13.071192906903535,16.478524334577774,-0.00034179687497720013
300001083,3.8234292914849215,12.201558769152387,15.827438150768238,-0.00034179687497720013,230.73333333333332,5.065965143310668,12.775946745360665,15.83084958055236,-0.00034179687497720013
300010885,1.4471392350112238,4.14165789658507,7.043667037816231,-0.00034179687497720013,264.53333333333336,1.1281113835116365,4.246553366633931,7.524851321040293,-0.00034179687497720013
300011620,2.801537713623349,9.593548763662168,14.532077014061736,-0.00034179687497720013,262.93333333333334,3.5365595473312985,9.74763602546201,15.370007745755178,-0.00034179687497720013
300011642,3.4328612926284037,10.695851745236924,13.789302963976954,-0.00034179687497720013,229.06666666666666,4.932958732855061,11.883131349526646,14.847837842737498,-0.00034179687497720013
300013091,6.6392044206863075,16.69707221247726,18.752262436788165,-0.00034179687497720013,151.0,10.040972120567965,17.90253141276044,19.465873406713193,-0.00034179687497720013
300011169,2.038960769239313,6.975750321927303,11.150484930058985,-0.00034179687497720013,270.6,2.3455323283220273,7.451188449721001,11.790851027672748,-0.00034179687497720013
300012472,5.865896087653935,15.635082757645785,17.5472732133763,-0.00034179687497720013,173.73333333333332,8.625840566600802,16.334887661972687,17.96384977140195,-0.00034179687497720013
300001115,4.310749401390312,13.187149589649168,15.76207173938822,-0.00034179687497720013,209.0,5.863149799249135,13.740035595232298,15.99106762776368,-0.00034179687497720013
300011134,2.3245667287524254,7.199656800256283,11.074484817614291,-0.00034179687497720013,253.73333333333332,2.6576730730808436,8.694016458878957,11.327118288392954,-0.00034179687497720013
300011237,2.261310013918651,6.764350802998817,10.300752512958885,-0.00034179687497720013,249.6,2.5451349139929875,7.758756029435667,10.782550508185079,-0.00034179687497720013
300012946,6.038316647324874,15.661397173784804,18.055446313017182,-0.00034179687497720013,158.66666666666666,9.42626852928573,16.78627659354625,18.615491558598183,-0.00034179687497720013
300013141,4.062006983345391,11.342363369983198,15.445494510281497,-0.00034179687497720013,217.8,5.721522913040014,12.11992708925071,16.098922461201543,-0.00034179687497720013
258,3.419639466964505,9.759742603209883,12.20966547073859,-0.00034179687497720013,210.13333333333333,3.803416148224495,9.850910191225122,12.591176986140843,-0.00034179687497720013
300001142,4.413365519637885,14.362205349189674,17.063773542379135,-0.00034179687497720013,228.73333333333332,7.046238940286416,15.67915918243321,17.596779270359743,-0.00034179687497720013
300011444,2.3367588243846193,8.09572169584931,12.826635424979724,-0.00034179687497720013,272.26666666666665,2.7853923415268977,8.634655358400163,13.920265781092317,-0.00034179687497720013
177,3.8664901934793527,10.958790517094755,13.31277260125018,-0.00034179687497720013,201.8,5.207706400074302,11.06389492397832,13.616189985374433,-0.00034179687497720013
300011445,2.5342641192805053,8.079032799817538,12.45657551262971,-0.00034179687497720013,259.93333333333334,3.550280189895806,9.076781049821722,12.889083506144313,-0.00034179687497720013
364,3.000795296914281,8.633401915877362,13.10196232676081,-0.00034179687497720013,245.2,3.390351603814123,7.7939703491228824,13.3476325633839,-0.00034179687497720013
522,5.458226759123218,14.940927355761712,16.99190897924501,-0.00034179687497720013,187.93333333333334,7.175868926649311,15.326453044377075,17.32218383400628,-0.00034179687497720013
300001024,2.4027749873574247,7.852534324996162,12.55200858030698,-0.00034179687497720013,265.0,2.97279176496575,9.585810491967559,13.12170872349711,-0.00034179687497720013
300011089,2.3205750474154314,7.604184618318739,12.0617737171898,-0.00034179687497720013,269.06666666666666,2.709682664328498,8.54624724671179,12.423297659134478,-0.00034179687497720013
300001059,3.1619778206961198,9.462457707078007,13.820516375743383,-0.00034179687497720013,245.8,3.726172113849197,9.099534146391735,13.858398367942225,-0.00034179687497720013
433,1.5878281999288746,3.577985296387627,7.541933753766775,-0.00034179687497720013,259.26666666666665,1.4429041538736838,2.9145876904969814,7.641980996811823,-0.00034179687497720013
